,Unnamed: 0,Idade,Genero,Estados,Cargo,Carreira,Salario,Experiencia,Raça,Região
971,971,30.0,Masculino,São Paulo (SP),Engenheiro de dados,Pleno,14000.0,de 3 a 4 anos,Branca,Sudeste
972,972,31.0,Masculino,São Paulo (SP),Engenheiro de dados,Pleno,7000.0,Até 2 anos,Branca,Sudeste
973,973,28.0,Feminino,Rio de Janeiro (RJ),Analista de Dados,Pleno,5000.0,Até 2 anos,Branca,Sudeste
974,974,26.0,Masculino,São Paulo (SP),Analista de BI,Pleno,3500.0,Até 2 anos,Branca,Sudeste
975,975,28.0,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Pleno,27500.0,de 3 a 4 anos,Parda,Sudeste
976,976,31.0,Feminino,São Paulo (SP),Engenheiro de dados,Pleno,7000.0,de 3 a 4 anos,Branca,Sudeste
977,977,47.0,Masculino,Minas Gerais (MG),Analista de BI,Júnior,2500.0,de 4 a 6 anos,Parda,Sudeste
978,978,31.0,Masculino,São Paulo (SP),Outra opção,Sênior,14000.0,Até 2 anos,Branca,Sudeste
979,979,30.0,Feminino,Distrito Federal (DF),Cientista de dados,Sênior,14000.0,de 7 a 10 anos,Parda,Centro-Oeste
980,980,44.0,Masculino,Minas Gerais (MG),Outra opção,Sênior,14000.0,de 3 a 4 anos,Branca,Sudeste
981,981,19.0,Masculino,São Paulo (SP),,,,,Parda,Sudeste
982,982,35.0,Masculino,Mato Grosso do Sul (MS),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Amarela,Centro-Oeste
983,983,28.0,Masculino,Minas Gerais (MG),Analista de Dados,Júnior,2500.0,Até 2 anos,Parda,Sudeste
984,984,31.0,Feminino,Paraná (PR),Analista de Dados,Júnior,5000.0,Até 2 anos,Branca,Sul
985,985,25.0,Masculino,Mato Grosso do Sul (MS),Cientista de dados,Júnior,3500.0,Até 2 anos,Branca,Centro-Oeste
986,986,25.0,Feminino,Minas Gerais (MG),Analista de Dados,Júnior,5000.0,Até 2 anos,Parda,Sudeste
987,987,48.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,5000.0,Mais de 10 anos,Branca,Sudeste
988,988,30.0,Masculino,Amazonas (AM),Cientista de dados,Sênior,10000.0,de 3 a 4 anos,Preta,Norte
989,989,41.0,Masculino,Pernambuco (PE),,,27500.0,de 4 a 6 anos,Branca,Nordeste
990,990,31.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,22500.0,Mais de 10 anos,Indígena,Sudeste
991,991,60.0,Masculino,,,,18000.0,Até 2 anos,Branca,Desconhecida
992,992,41.0,Masculino,Minas Gerais (MG),,,,,Branca,Sudeste
993,993,28.0,Masculino,Minas Gerais (MG),,,10000.0,de 4 a 6 anos,Preta,Sudeste
994,994,42.0,Masculino,Pernambuco (PE),,,10000.0,Mais de 10 anos,Branca,Nordeste
995,995,33.0,Masculino,São Paulo (SP),,,18000.0,de 7 a 10 anos,Branca,Sudeste
996,996,26.0,Masculino,Minas Gerais (MG),Analista de BI,Pleno,7000.0,Até 2 anos,Branca,Sudeste
997,997,34.0,Masculino,Paraná (PR),Engenheiro de dados,Júnior,2500.0,Até 2 anos,Parda,Sul
998,998,22.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,14000.0,de 4 a 6 anos,Amarela,Sudeste
999,999,36.0,Masculino,Paraná (PR),Cientista de dados,Sênior,18000.0,Mais de 10 anos,Branca,Sul
1000,1000,,,,,,,,,Desconhecida
1001,1001,26.0,Masculino,São Paulo (SP),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Branca,Sudeste
1002,1002,24.0,Masculino,Paraná (PR),Analista de Dados,Júnior,5000.0,Até 2 anos,Branca,Sul
1003,1003,32.0,Feminino,Rio de Janeiro (RJ),Outra opção,Pleno,27500.0,de 3 a 4 anos,Branca,Sudeste
1004,1004,18.0,Masculino,São Paulo (SP),,,,,Branca,Sudeste
1005,1005,37.0,Masculino,São Paulo (SP),,,35000.0,de 7 a 10 anos,Branca,Sudeste
1006,1006,40.0,Masculino,Rio Grande do Sul (RS),Engenheiro de dados,Sênior,22500.0,Mais de 10 anos,Branca,Sul
